,player_api_id,player_name,height,weight,count_plays,overall_rating,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
272,30657.0,Iker Casillas,185.42,185,232.0,87.0,89.88,82.24,69.47,84.82,91.0
663,30717.0,Gianluigi Buffon,193.04,201,231.0,86.16,87.68,83.0,68.42,90.21,84.32
54,30859.0,Petr Cech,195.58,198,251.0,85.67,87.13,83.2,77.13,85.53,87.67
457,27299.0,Manuel Neuer,193.04,203,255.0,84.69,85.81,80.56,84.12,80.88,85.88
169,30726.0,Edwin van der Sar,198.12,196,87.0,84.67,84.0,87.0,85.0,91.33,80.33
696,27341.0,"Robert Enke,30",185.42,172,30.0,84.4,83.2,84.6,78.0,86.0,87.2
266,30989.0,Julio Cesar,185.42,174,202.0,83.83,84.92,81.5,72.33,83.92,86.0
10,32657.0,Victor Valdes,182.88,172,203.0,83.38,83.77,77.31,81.54,84.85,87.62
166,26295.0,Hugo Lloris,187.96,172,282.0,82.94,85.65,81.47,74.53,81.29,86.82
460,30660.0,Pepe Reina,187.96,203,249.0,82.71,83.18,78.71,87.06,82.29,84.65
211,30648.0,Jens Lehmann,190.5,192,66.0,82.5,79.25,86.25,75.5,88.0,79.0
540,39989.0,Gregory Coupet,180.34,176,37.0,81.8,83.2,84.2,76.4,83.6,80.0
300,27424.0,Rene Adler,190.5,192,191.0,81.79,84.84,79.58,70.37,80.11,85.42
296,27358.0,Roman Weidenfeller,190.5,198,214.0,81.53,82.65,80.88,64.06,80.82,83.12
507,41466.0,Diego Lopez,195.58,192,247.0,81.45,80.6,81.55,76.45,83.35,81.0
527,30742.0,Mickael Landreau,182.88,185,207.0,81.12,79.5,81.0,79.0,80.88,83.75
643,42422.0,Samir Handanovic,193.04,196,286.0,81.08,82.96,78.75,70.75,82.29,83.88
804,31465.0,Tim Howard,190.5,194,282.0,80.83,81.89,78.89,74.39,80.5,83.78
609,31293.0,Steve Mandanda,185.42,181,300.0,80.8,82.6,79.3,77.1,79.9,82.5
301,25524.0,Frank Rost,193.04,203,98.0,80.71,80.29,79.0,77.86,83.29,81.86
168,182917.0,David De Gea,193.04,181,222.0,80.56,82.89,77.28,82.17,76.22,84.44
271,40963.0,Helton,187.96,176,156.0,80.53,81.79,78.68,74.74,79.05,83.84
62,31432.0,Joe Hart,195.58,201,275.0,80.26,82.37,76.05,74.53,77.0,84.37
873,215168.0,Bernd Leno,190.5,183,166.0,80.2,81.4,78.7,81.1,78.1,83.0
96,30380.0,Brad Friedel,187.96,203,164.0,80.0,78.25,82.94,79.5,82.0,79.75
522,34382.0,Roberto Abbondanzieri,185.42,194,13.0,79.8,78.2,79.0,82.8,82.4,76.8
363,39599.0,Federico Marchetti,187.96,183,209.0,79.72,82.44,77.33,66.94,78.78,82.89
471,26168.0,Cedric Carrasso,187.96,192,268.0,79.6,79.4,76.93,77.27,79.13,82.47
617,32746.0,Morgan De Sanctis,190.5,181,220.0,79.58,80.16,78.79,63.68,82.47,81.58
61,24224.0,Shay Given,185.42,185,112.0,79.53,81.68,76.26,71.74,79.89,83.11
411,24503.0,Sebastian Frey,190.5,198,156.0,79.36,80.21,78.36,62.5,80.57,82.71
454,56829.0,Fernando Muslera,190.5,185,87.0,79.35,79.0,77.09,75.22,79.0,83.52
441,27659.0,Salvatore Sirigu,193.04,176,213.0,79.3,80.3,76.2,71.7,79.0,81.9
535,34530.0,Christian Abbiati,190.5,203,167.0,79.0,81.64,76.04,71.84,79.76,81.52
